,org_label,text,label
72,0,"no prý chyba, prý je to tahle: http://www.osigroup.com/index.html je to o pár příspěvků níže...",2
73,0,tak to si zabyla mišo,2
74,p,"Je to roztomilá pozvánka k vám na návštěvu,aspoň uvidíme,jak vypadá ZOO pod sněhem!!",1
75,0,sežraly mě prase kuny :-D,2
76,0,asi jich je míň:D:D,2
77,p,úžasná vůně a Versace Diamond také nemá chybku :) .......doporučuji,1
78,n,To je fofr aktuální rychlost připojení po vyčerpání 150FUP je ......astronomických 8kbits :) úplně mi vlajou vlasy z tý rychlosti :),0
79,0,já tu žádnou nápoědu nevidím xD :) <3,2
80,0,Za pět minut to jdu vařit ! :-DDD,2
81,p,Děkuji ! Těším se na setkání s Vámi ! Chybí mi Kofola ( a všechny mé úžasné české Přítel ) . Chybí mi tvá země !,1
82,p,je to láska.,1
83,n,"chcete mi říct, že se to nikomu n e l í b í ??! :D",0
84,0,"Posílal jsem již dva emaily, poprvé bez odpovědi a nyní mi přišel pouze email psaný anglicky s jakýmsi odkazem na slevomat.zendesk.com..",2
85,p,u nás už se dneska zahajoval školní rok hezky v hospůdce u kofoly ;),1
86,0,"Milane, taky je otazka kolik celorepublikovych vypadku upc melo. Nicmene souhlasim, aspon pro nekoho neco, u nas se to moc nenosi",2
87,0,":-( o.k. a díky, už jsem nakoupil a jdu na soutěž",2
88,0,Každý den nový úžasný obrázek! Dnešní pozadí pro TEENAGER BOYS 30.5.2011: http://www.guglik.cz/teenager-boys/,2
89,n,"Uz jsem z nej prezranej ,chtelo by to zmenu ..",0
90,n,"Vážený T-Mobile! Až dokončíte to cachování,tak mě vzbuďte....budu nesmírně rád a děkuji předem.. :D",0
91,p,To je moje vůně!Mám ji!,1
92,0,odstřik za 25kč :-)) to de:-)))),2
93,0,že y nějaké překvapení :-)),2
94,0,Kolik stojí taková reklama ?,2
95,n,"A ty směšné tarify za hlasovky! Jo, chce to nakopat VF do řiti!",0
96,p,"milko,vše nej:D-udrž si kvalitu a s cenou nahoru nepospíchej!!!",1
97,p,Já to žárlení na mimi čekala - jsou jako my a naše dětičky :-),1
98,0,Bounty! Jedině to!,2
99,n,"Ahoj, já taky hledám nějaké vyjádření a kdyby mě nenapadl Face, tak nic nevíme!!!",0
100,0,Na Můj T-mobile není na výběr,2
101,0,ty jsi skoda Jane,2
102,n,jděte do řiti!!!!!!!,0
103,0,ted nejlepší zadar...... :),2
104,0,a to je který? ten uprostřed dole?,2
105,0,"tak tohle budu hodně sledovat, jak se k tomu vyjádří, toho pána neznám,ale držím palce",2
106,n,"osobně bych tam přidala ještě nějakou zeleninu, třeba salát a rajče a nebo ho dát s brusinkami. takhle vypadá hrozně stroze",0
107,0,V devítce k Vánocům (r.2000) Nokii 3310 a to v tej době stála přes desítku. Dneska už se tomu směju.,2
108,p,zajímavý snímek a ještě k tomu krásný,1
109,p,Děkuji moc a krásné svátky přeji.,1
110,0,"Co je pravdy na tom, že je to jen polovina představení?",2
111,0,žeby párty pro 4000 lidí?? :-),2
112,0,"Já se ale neptal na vyhlášení, ale na předání :o)",2
113,p,nejlepší je višnová a malinová :-) <3,1
114,0,kiezby len tolko bolo stupnov..:),2
115,n,"jenže je to daleko, ach jo :(",0
116,p,držíme pěstičky....,1
117,n,McDonald jde do sraček....ale čechy potěšíte ty nežerou nic jinyho než sýr ve všem jako smažáky :D fuj :D,0
118,0,Třeba a kdyby byli raci ryby :)),2
119,0,já podporuju vánoční višnovou... proste jen višnovou žádnou jinou ani clasic ani bilinka ani bez cukru prote jedine VIŠNOVOU!!! :d,2
120,0,"v tom případě by to chtělo protáhnout datum, do kdy možno hlasovat ;)",2
121,0,Vodu z vodovodu dát na tři minuty do mrazáku. Osvěžující a skoro zadarmo.,2
122,0,A kdy přijde na řadu Dvořák ? Tím bych začal.,2
123,0,"Mám, poslední. Pošlu ;-)",2
124,0,"Sice máme volno hlavně díky jeho bráchovi, ale to neva;-)",2
125,0,"A mimo to,chudak martin,jak kdyby za to mohl on:D",2
126,0,a.........kdo my na ní dááááá,2
127,0,"když mi něco berou, tak to vždycky bolí :) nevěřim ... mandle, zub, bradavice, končetiny, ... :-)",2
128,0,no je čas zase navštívit zoo :-),2
129,p,Děkuji za odpověď.,1
130,p,"no to je něco nádhernýho, žirafátku přeji do života jen to nejlepší !!!",1
131,0,"O2 CZ : Měla bych dotaz, jaký je maximální počet bodů, kterého se dá dosáhnout? :) Děkuju",2
132,0,Napsal jsem tak prosim o odpoved. Dekuji,2
133,0,Puntíček a Šmudlíček:D,2
134,0,"Dobrý den, rád bych se zeptal, zda je ve Vodafone Parku nějak omezen počet sms jenž lze najednou odeslat. Díky za odpověď.",2
135,p,Díky moc. :-),1
136,n,T-Mobile> Tak co bude? Cela tahle diskuze ani reakce ostatnich vas nezajimaji?,0
137,0,Eterický spot..,2
138,n,"No, pořád si říkám že jsem asi měkká, že ještě vydržím, dám jim čas do 12h, jinak píšu na ČTÚ a bude zle!!!",0
139,p,"Má správnej kukuč :) Mně se líbí... :) Morrisi, těší mně, že tě poznávám, snad se uvidíme i naživo :)",1
140,n,no jo abyste se z toho sponzorovani neposrali,0
141,p,Kazdův Dvům mohu také jen doporučit všem. !!!!,1
142,p,"Raní Věro, máte moc hezké fotky.",1
143,p,"super, díky moc, chybí mi jen modrej náramek, tak snad budu mít štěstí :-)",1
144,0,"(a hlavne, o co tu šlo... rozhodně je zbrzdí méně než snacky)",2
145,0,U mne naopak dělání probouzí smutek.,2
146,0,Přesně tak. Tak kdy začneme?,2
147,n,kyby mi ho radči dali,0
148,0,"Lenko, takže microSim aktivována. Pokud tam ještě jste, můžeme to dořešit hned.",2
149,0,co je Hruška? Akce nebo obchod?,2
150,0,surfuju a koukam jestli tu nekde nekrouzi cetnik...,2
151,n,vymente personal v čb a pak možná příjdu,0
152,p,příjemná vůně ....,1
153,n,Kašlu na to stejně je nezajímám kašlu na ně du pryč,0
154,0,"Dobry den, kdy je mozne ocekavat slibovanou akci na let ve vzdusnem tunelu ? :-) Dekuji za info.",2
155,p,Kofolu si dám i bez výjimečného datumu :-D,1
156,p,"doporučuji, přítel má a nemůžu se té vůně nabažit!",1
157,0,nj nejlepší 3G má asi vodafone ;) takze si nestezujte a bezte k vodafonu kdyz vam o2 nevyhovuje,2
158,p,Ať se daří. <3,1
159,n,Jak zruším denní horoskop?děsně to žere peníze,0
160,p,"Už to frčí, děkuju.",1
161,p,"Moc děkuji za odpovědi, já píšu na všechny strany, ale to jen proto, že mám takovou radost, že Gulab můžu ještě vidět:-)Tolik času uteklo...",1
162,p,"Pražská ZOO má letos samý úspěch,tak ať se podaří :D",1
163,n,Je to strašná škoda a tragédie. Přeji upřímnou soustrast !!! !!!,0
164,0,Dobrý den mám telefon Samsung galaxy mini a nejde mi tak jazyk v českým jazyce jak ho můžu nastavit? moc děkuji :),2
165,p,"jj ty černý vypadaj sexy, ty bych si na sebe klidně vzal...",1
166,0,"u mě ještě žádný víkend, ještě se pracuje! :)",2
167,n,nazval bych to spíš než troufni si na jemnost tak troufni si na to ať ti funguje aplikace,0
168,n,I s ledem je to tak 80% vody a 20% přeslazenej sirup. Odpovím ti za ně.,0
169,0,"ač do toho nevidím, pochybuju.",2
170,n,Taky mi to píše... nevim co stim :/,0
171,p,legendární reklama :),1
172,n,Díky. Radši Subway.,0
173,0,"Slevomate..kde jsou starší fotky..teda pokud jste je sem dali,ale kredit jsem měl připsaný..předem díky za info!!!",2
174,n,oni nahravaji vse ale vytahbou nahravku jen kdyz je to pro nevyhodne,0
175,n,"nechápu, proč nedáte odkaz přímo do Play...",0
176,n,"Sakra ... jsem musel byt asi tezce sjetej, kdyz jsem dal LIKE na tuhle stranku ^^",0
177,p,Jo to mi tak pak došlo:)...takže ještě jednou díky....čau,1
178,p,tohle je nej nej oblíbenější vůně mého muže a já ji můžu též ;-) :-P,1
179,n,"Chtel sem si jen objednat internet na mesic.. Ale uz to resim u konkurence :( Děkuju za pochopení, Petr (Zákazník a po letech zklamanej)",0
180,0,Myslim ze tata je vhodnejsie,2
181,0,Měli byste prosím nějakou fotografii cykasů z Indonéské džungle zblízka?,2
182,n,"Myslím, že v případě českých operátorů by otázka měla znít spíše – Proč prodáváte svoje služby za 10násobek ceny? Ne desetinu…",0
183,0,Všechny restaurace v tom seznamu nejsou. Karlovy Vary I fajn menu také nabízí a v seznamu chybí.,2
184,0,"Dobrý den, na mobil mi přišly nové kupony na květen. Tady jsou stále staré dubnové. Děkuji za reakci ..",2
185,p,"...no konečněěěě!!!brácha ho prostě vytáhl ven, hurá :o))",1
186,0,Dobrý den. Já si telefon objednala v sobotu večer a v úterý mi byl doručen. Takže do dvou pracovních dní... a bylo to tak vždycky.,2
187,0,někdo o to třeba stojí.,2
188,p,"krásná vůně, až budu mít zbytečný penízky, tak si ji zase pořídím :-)",1
189,0,no mozna by to bylo lepsi kdyby si to udelal ty ...,2
190,p,"Mam velkou radost, ze jste Martinovi umoznili prozit krasne prazdniny :-)",1
191,p,hezky :) oni to logo vymysleli nakonec dobře - koník by se sem dával blbě :-D pro úspěšnost s logem :-D OSTRAVA!!! :-D,1
192,p,Tak to je vážně super nabídka!!! Lepší jsem jinde neviděla. Už se těším na další akční ceny :-),1
193,0,JEŠTE K TOMU 100m od náměstí I.P. Pavlova,2
194,0,V pěti stupních? :D,2
195,0,A za jak dlouho od aktivace (popř. změny na jiné číslo) bude služba aktivní?,2
196,p,já taky a i dítko se šlo podívat z postele.... gratulujeme!!!,1
197,n,pozítří podle pravidel končí soutěž a pořád nic :/ :(,0
198,n,Vodafon je pro mě nespolehlivá firma:(((((,0
199,p,ta už je teda pěkně veliká! :),1
200,p,I já jsem dostala kytičku od dcery...,1
201,n,"jste na fanouškovský stránce Kofoly a píšete tu, že radši pivo....jste divný :P :D",0
202,n,"Myslím, že už jste to fakt přehnali! Pro mě FUP je to nejsprostější slovo, mnohem sprostější, než to předešlé!",0
203,0,"Bohužel nevím chut ani jednoho druhu, natož více. Při váze 80kg :( se snažím sladké nejíst. Ale obaly jsou lákavé :)",2
204,p,"Christina parfem mám ráda, taky ho používám... posílám paleček :o)",1
205,0,"Pokud někomu zbylo, potřebovala bych co nejdříve 5 bodů, dotyčnému ráda pošlu na oplátku 5 čárových kódů.",2
206,0,"Dobrý den, mohu si TV duo kartu objednat dodatečně, nebo jen s aktivací TV T-Mobile? Děkuji.",2
207,p,Už jsem doma! :D,1
208,n,tím jste mi ale neodpověděli na otázku proč máte na každé prodejně jiné ceny....,0
209,0,tak co bude s tím mobilem od Samsungu? Budete ho nabízet nebo ne?,2
210,p,"to vipadá jak ručník, ale je to rozkošný !!! =) ♥",1
211,p,už mám dokonce všechny nakoupené :D xD,1
212,0,Kde sezenu takovy pullitrovy dzbanek? :-),2
213,n,"Proč zvyšovat FUP, když takto je pryč během dne a zákazník si může vesele dokoupit další.... Ale hlavně, že to bude rychlé.",0
214,n,jak pro koho dobry.. ja si tam objednala zajezd.. a nikam sem nejela a penize jsou fuc... TAKZE OBLOZ....:(,0
215,0,"Ano, je pravda, že zatím nejsou vypsány termíny.. až v březnu",2
216,n,TAK PROČ JSTE MI MMSKU Z PARKU ZAÚČTOVALI? :-( když byla v síti? :-(,0
217,0,hradec není v plánu ??,2
218,0,"Pro operátory je význam slova ""mobilní"" to, že se můžu připojit od tam, kde bydlím, nikoli, že se člověk může s připojením pohybovat :-)",2
219,n,"Martine, vy jste pražák? Tak to jste měl říct dřív, teď už mi je jasné proč jste neschopný. :-)",0
220,p,Hezký a jednoduchý...:-),1
221,0,"Byl bych vděčný za tu nevděčnou roli zdejších operátorů, zda by to byli ochotni okomentovat, resp. vyjádřit stanovisko operátora. :)",2
222,0,"to jako musí být důvod pro to, dát si kofolu?",2
223,p,Snad už bude krásně abychom mohly zase celý den strávit v krásné zoo:-)),1
224,n,Dobrý večer klikam jak blazen 2 hodiny a nic,0
225,n,tak mě přesvědčte že to není pravda? vyfoťte děti ve školce s tabulkama? to ne co?,0
226,p,mnam to bych si dala.Milka je nejlepsi!,1
227,0,"v Brně nebo v Praze proč tak "" daleko "" ? jsem z Valašského Meziřičí, ...",2
228,0,"nezablokuje se, pouze se sníží na 0 kbps :P",2
229,0,"Sokolská 1555/19 ,Praha 2 -Nové Město",2
230,0,mela jsem dnes jednu ;),2
231,n,Přátelé z T-Mobile... je to tragické!!,0
232,0,myslel jsem v podobě zasílaného na moji poštovní adresu,2
233,n,Včara jsem zde zadával dotaz a byl smazán proč??...:-(,0
234,p,"Podle mého muže mám asi 20litrů krve, miluju ho( burčák) :-)",1
235,0,+ telefon mám po kladném posouzení servisu na pobočce i s platným záručním listem.,2
236,0,Já bych nutně potřebovala sehnat šedou pumu co se už nevyrábí..nemáte ji někdo a nepoužíváte ji ..koupím:o))),2
237,0,"berete i na částečný úvazek? vaše nabídky práce se mi líbí, ale potřebuji to skloubit se školou a to s plným úvazek nejde :(",2
238,0,"Ano, syn je s vámi v jednání a uvidíme co nabízíte za řešení.",2
239,0,balkánská specialita: pečený plátek bramboru s balkánským sýrem a tři karboše ve stylu hambáče,2
240,p,to je dobrůtka....pěkně s čokoládou:),1
241,p,"děkuji, určitě si objednám",1
242,0,ted ji zavidim mam chut na meka xD,2
243,p,"Hezký web, jen bych udělal tlačítko e-shopu trochu výraznější, chvíli jsem ho hledal (neberte to jako rejpání :) ).",1
244,0,Prodloužil jsem před 2 měs. - jaký pro mně máte vánoční dárek ?,2
245,p,"Kofolu, jedině kofolu...",1
246,0,Konečně něco pro rumovou vílu :-P,2
247,0,Aplikaci Užvímproč :-D,2
248,n,Je to smutný:-(,0
249,p,Snad si ji brzo konečně koupím :-)....,1
250,n,"Hip hop je otřesná hudba, jestli se dá vůbec Hip hopu říkat hudba.",0
251,0,Ono často na ceně tolik nezáleží a levnější výrobky jsou kvalitnější.,2
252,p,To je fakt srandovní pták :-))),1
253,n,"Opravte tu sms bránu vy tydýtové. ""Captcha does not match."" naskakuje pokaždé, natočím video kdybyste náhodou nevěřili.",0
254,p,ona je bohyně a ten parfém nemá chybu!!!,1
255,0,Tak děkuju...,2
256,p,"úžasná kosmetika,mám jí oskoušenou a všem vřele doporučuji.",1
257,p,nejlepší kofola je s guaranou :),1
258,p,"děkuju vodafonu že mi neodepisuje ve stylu O2 ""Ano, když vám Vydrák volá z ciziny, platí 3,90,- a vy nic.""",1
259,0,chystáme se zítra:O,2
260,n,"Pane Štraube,Vás také za každý omyl či nevědomost trestají?",0
261,0,máme toho ještě hodně před sebou :o)),2
262,p,"Jedna z mála kvalitních, sledovatelných reklam :) Díky za ni :)",1
263,p,To je pohoda!,1
264,0,9% 10 lískových oříšků,2
265,0,lambo na celý měsíc nebo dovolenou v Karibiku--)),2
266,0,Při mém štěstí bych to chtěla dostat darem:-D,2
267,0,i am žízeň !!!!,2
268,0,"samo, to je zbytečná otázka :D",2
269,0,"panežo myslíte ,že jím stojí za to tam dát o hambrugra míń????stjene z toho nic nemaj",2
270,0,"a když nahraji novou fotku, tak těch 22 bodů se mi spojí s tím novým profilem?",2
271,p,"Úžasná,miluju ji:))",1
272,0,V TV standart například chybí kanál Film+. Nenašla jsem programovou mapu. Máte v nabídce nový sportovní slov. TV kanál? Dílky.,2
273,p,Krasavice krásná!!!,1
274,0,"nepatri,maji je mit schovany v kapse treba,aby kdyz se neco stane tak mel jsi rodice informovat..",2
275,n,"Proč Vám trvalo týden než jste moji recenzi v soutěži O2 ideální místo, schválili?",0
276,0,a ještě bych se chtěl zeptat poslal jsme žadosti 4 kamarádu a všecí to potvrdily ale aktivoval se mi jenom jeden,2
277,p,úplně jiné jednání s O2 guru... naprostá spokojenost... díky,1
278,0,jejda ne frýdek-místek je jedno město,2
279,n,Mám stejný problém.,0
280,0,"Taky bych to rád vědel, počítal jsem to, že jsme asi 95 :) (mail: spergy@seznam.cz) :D",2
281,0,"A ten, kto je doma, nech ide do baru :P",2
282,p,pokud mi je pošlete tak budete hodná :) předem děkuji.,1
283,0,Nejbolíbenější? Cítím se bolíben a zmetan :),2
284,0,a co v český lípě???,2
285,0,WP dlaždice :D,2
286,n,"Pochybuju ze kdyz nekdo bude lemtat kofolu, tak ze bude takhle stihlej. PS: tohle a Miss?? :D good joke!)",0
287,0,"Petře vygenerujte si ho znovu na m.o2.cz nebo tady v aplikaci,dostanete ten samý",2
288,p,Nádherná vuně mám ho doma a jiný už nechci :),1
289,p,aky su zlatucky,1
290,0,"Prosím prosím , budou sobíci v Hodoníně a kdy ? Tohle je hodně tajemná soutěž .",2
291,0,a mimochodem bondovi je snad jedno jekej má tel stejně je bud postrácí nebo rozfláká :D nechal bych ho volat z budky :DD:D,2
292,0,Už někomu něco došlo?,2
293,0,"Prosím, kde mají ty záložky:-), já to tady hledám a furt nic...",2
294,0,"Pátek, Catherine, Mezinárodní den bez masa... stále mají nějaký dobrý důvod pokračovat,? (Přeložil(a) Bing)",2
295,n,"Nasrat a rozmazat! Včera jsem si dal třetinku ve skle za 28 Kč, jste se posrali ne? To si dám radši půlitr piv!",0
296,n,ja posílala 3.9 a 6.9 a pořad nic,0
297,0,"Odesláno, vyplněno :) (zrušit hlasový automat, spojit s člověkem :)",2
298,0,"že by to byla švestková náplň? Švestky když se vaří,taky se táhnou...:-))a když jsou švestky v tekuté podobě,to se zase táhnete vy:-))",2
299,0,"voucher se dá hravě stáhnout na stránkách slevomatu, když se člověk přihlásí ...",2
300,n,"Tahle stránka je hrozná ;) jasně,že jsem dnes v MC byl dneska na cheese, ale kdo tohle vede mě zajímá?",0
301,0,"Dobry den mam prosbu,pritel je v cizine a nejdou mu odesilat smsky ze zahranici ma predplacenou kartu.Je mozne to nastavit tady z cr?",2
302,p,děkuji za info :-))),1
303,0,Robin a co máš ty?,2
304,0,Honzík Škubánek: Ber to z nadhledem!! :D McDonald je Tak na stejné ůrovni!! :D,2
305,n,Sám a musím říci že teda nic moc...,0
306,n,"Taky mě to štve, že někteří tam mají už milion kliků,a kde my to máme shánět, ach jo.",0
307,p,ten opravdu nemá chybu :-),1
308,n,Dobrý večer chci se zeptat proč jste mi zrušily 50% slevu na vždy ? Zkoušel sem vám volat ale po dvaceti minutách sem to zavěsil.,0
309,p,pěkná vůně-pro ty co mají rádi energickou svěžest -sama na ní občas ujíždím-doporučuji,1
310,0,"žije, vylezla právě :-)",2
311,p,MC je nejlespi rychle občerstveni co je hned po skole tam pujdu na pikanta,1
312,0,a pudu páč mě bolí záda jak sviňa :-),2
313,0,"Zdravím, jsem ve stejné oblasti a teď jsem naměřil 21,59 kb/s, http://rychlost.cz/rh/20122516892-6854cbe5b4.html .",2
314,0,"ne, stále ta stejná jména",2
315,0,"miminko nás napíná, že by večer bylo další velké čekání jestli už? :)",2
316,p,"takovou ""skládku"" bych ráda potkala :)",1
317,0,"ale ne tip, jak tam propašovat sebe :-D - hezký den parfémácký týme :) - ňufám na sobě xparfemackého ježucha a je mi hej :)",2
318,p,"tohle logo vypadá zajímavě, i když jsem se nejdřím musela rozkoukat... ale je super... proč nepostoupilo????",1
319,n,"a lepsi bezce, cekal jsem ze borci z parkuru nebudou chyceni po 5 minutach... :/",0
320,0,kofola jedině točená,2
321,n,To je Reklama! PS: kolik za to dostáváš XD,0
322,p,Ten je kouzelnej :-),1
323,0,je pustevny.. :),2
324,0,@Hana Bodláková 100kč? kolik vážíš? 150kg?! :D normální holka nezvládne ani 3 chickeny ;D,2
325,0,"já ještě nevím, u koho skončí :)",2
326,0,"Dobrý den, zajímalo by mě kdy zase budou iPhone 5 naskladněny. Předem děkuji za odpověď.",2
327,0,Rek bych ze mekac trosku nezachapal tvoji otazku :D,2
328,p,hm.. už se tam těším :),1
329,n,"nesnáším zimu,úplně ubíjí",0
330,n,Nechcete taky opravit vysoký ceny a bordel během převodů smluv a telefonních čísel?,0
331,n,zkoušel sem to už mnohokrát... bez účinků :D,0
332,p,"To to ten mrňous vzal pěkně hopem ;-) Tak mrňousku, hodně štěstí a zdraví do života :-)",1
333,0,"Proč končí kolo štěstí? Já tak rád točil, je to škoda...",2
334,0,taky tohle řeším.. nevím kam tam strcit simku... mam uplne stejnej tablet...,2
335,0,Dario: Tak to udělej,2
336,n,Naštestí nemam ale popravde je to pítchovina mohly by tam davat něco rozumnyho,0
337,p,i já bych ráda kroužek pro dospělé :-),1
338,0,"to víš za blbost se platí, mám vodafone a jsem bez starostí ;)",2
339,0,"já jsem si večer dala 4 presíčka a ted nemůžu spát, prostě debil no :D",2
340,0,"Richarde, čekala jsem více jak týden, na pracovní dny 7.",2
341,n,me tam padnu telefom ale asi ho nikdy neuvidim,0
342,0,Ivano přítzele už nepotřebuejte když byla města odtajněna .D,2
343,0,"Ahoj proč nám rušíte kolo štěstí? Kde pak budeme číst ty věčné ""Dnes to nevyšlo""? :)",2
344,0,Jestli mi teď hodíte nabídku na Sicílii - tak mě vážně naštvete :-D,2
345,n,"Do vlastni site by to melo byt zadarmo a ne se chlubit, ze to stoji 7 korun :D To je spis ostuda :-)",0
346,0,"mně je,20 kreditů,pak se zarestrijuš a ukáže se ti to,ale nevim,kolik je korun za dvacetpět kreditů",2
347,n,no mě jen štve že to nemají rozdělené dostanou hromadu a je jim jedno jestli někdo poslal dřív nebo ne.,0
348,p,"Barbora je prostě jednička....,velká gratulace :-)",1
349,0,¨no jen jeslti udělají lepší tarif nežli máte Vy jeslti se přizpusobíte ??,2
350,p,to je krásné,1
351,n,"Vypadá to, že vám nejde web :o(...",0
352,p,Moudrá slova :),1
353,p,Moc pěkné...gratuluji k další restauraci...:-),1
354,0,ááááááá Vojta dělá žraloka .......:D,2
355,n,"to jo nemělo by to být jen pro místní pražáky,ale i pro ostatní...",0
356,p,"ty vaše popisky akcí mě dostávají. jsou super a kdo to vymýšlí, tomu dávám palec nehoru",1
357,0,kde jsou například informace o televizi???!!!,2
358,0,Odkdy je kofola průhledná? :D,2
359,p,Prdlinky hlavně miuju zebry <3,1
360,p,tohle je nejlepší v celém Mekáči. prostě božíííí,1
361,0,patriku zajima me jestli ty slevi s inkartou jsou jen pro tarify nabito nebo i pro ostatni tarify:)?,2
362,p,"Také mě to dostalo, hned jsem si složila pár písniček, vtipné",1
363,n,"na film nepůjdu, recenze mě od toho odradily.",0
364,p,"Připojuji se ke gratulaci přírodovědného centra, jen tak dál je to úspěch ať se vám dráčci vylíhnou všichni a zdraví. :)",1
365,p,to vypadá lákavě :-),1
366,n,"Tak teď jako kvůli vaší chybě přijdu o 2 dny internetu a nebo 10 minut volání? Fakt supr :-( Nebo to nastavíte znovu, když je to vás bordel?",0
367,0,Jak dlouho cca tam to oznámení bývá? Aspoň 15 min.? :-),2
368,n,"Jdu si do trafiky pro simku konkurence, už mě to přestává bavit.",0
369,p,můj nejoblíbenější...,1
370,p,Dal jsem si po půl roce Kofolu... No prostě je nejlepší!,1
371,0,"miky nejvíc bolí, když musíš přemyšlet, aspoň mi blondýny to známe moc dobře.",2
